player,opp,surface,indoor,tourney_date,best_of,ace,df,svpt,svgms,tourney_name,round,score,won,sv_1in,sv_1won,sv_2won,bp_saved,bp_faced,rank,opp_rank
Jo-Wilfried Tsonga,Thanasi Kokkinakis,Hard,O,20181231,3,11.0,1.0,76.0,11.0,Brisbane,R32,7-6(6) 6-4,1,41.0,33.0,20.0,2.0,3.0,239.0,146.0
Jordan Thompson,Alex Bolt,Hard,O,20181231,3,1.0,2.0,42.0,8.0,Brisbane,R32,6-3 6-0,1,29.0,23.0,7.0,0.0,1.0,72.0,154.0
Alex de Minaur,Alexei Popyrin,Hard,O,20181231,3,1.0,2.0,43.0,8.0,Brisbane,R32,6-2 6-2,1,28.0,25.0,6.0,3.0,4.0,31.0,147.0
Andy Murray,James Duckworth,Hard,O,20181231,3,6.0,4.0,66.0,10.0,Brisbane,R32,6-3 6-4,1,39.0,28.0,16.0,4.0,5.0,240.0,234.0
Miomir Kecmanovic,Leonardo Mayer,Hard,O,20181231,3,5.0,2.0,45.0,8.0,Brisbane,R32,6-3 6-1,1,25.0,22.0,12.0,1.0,1.0,131.0,56.0
Milos Raonic,Aljaz Bedene,Hard,O,20181231,3,18.0,0.0,38.0,8.0,Brisbane,R32,6-0 6-3,1,29.0,27.0,5.0,0.0,0.0,18.0,67.0
Nick Kyrgios,Ryan Harrison,Hard,O,20181231,3,44.0,3.0,119.0,18.0,Brisbane,R32,7-6(5) 5-7 7-6(5),1,80.0,63.0,24.0,1.0,2.0,35.0,62.0
Jeremy Chardy,Jan-Lennard Struff,Hard,O,20181231,3,15.0,4.0,87.0,15.0,Brisbane,R32,4-6 6-3 6-4,1,52.0,40.0,21.0,2.0,3.0,40.0,57.0
Yasutaka Uchiyama,Ugo Humbert,Hard,O,20181231,3,12.0,0.0,58.0,11.0,Brisbane,R32,6-4 7-6(6),1,43.0,39.0,10.0,0.0,0.0,185.0,102.0
Grigor Dimitrov,Yoshihito Nishioka,Hard,O,20181231,3,9.0,6.0,76.0,10.0,Brisbane,R32,6-3 6-4,1,43.0,37.0,12.0,6.0,7.0,19.0,75.0
John Millman,Tennys Sandgren,Hard,O,20181231,3,8.0,2.0,98.0,15.0,Brisbane,R32,7-6(6) 6-7(6) 6-0,1,68.0,49.0,15.0,3.0,5.0,38.0,61.0
Denis Kudla,Taylor Fritz,Hard,O,20181231,3,8.0,4.0,117.0,17.0,Brisbane,R32,7-6(5) 6-7(2) 6-4,1,73.0,58.0,26.0,4.0,4.0,63.0,49.0
Jo-Wilfried Tsonga,Taro Daniel,Hard,O,20181231,3,11.0,3.0,64.0,10.0,Brisbane,R16,7-6(5) 6-3,1,37.0,30.0,11.0,4.0,7.0,239.0,77.0
Alex de Minaur,Jordan Thompson,Hard,O,20181231,3,1.0,1.0,49.0,9.0,Brisbane,R16,6-4 6-2,1,38.0,29.0,8.0,0.0,0.0,31.0,72.0
Daniil Medvedev,Andy Murray,Hard,O,20181231,3,16.0,2.0,54.0,10.0,Brisbane,R16,7-5 6-2,1,34.0,27.0,13.0,0.0,1.0,16.0,240.0
Milos Raonic,Miomir Kecmanovic,Hard,O,20181231,3,21.0,3.0,62.0,11.0,Brisbane,R16,6-3 7-6(2),1,46.0,40.0,10.0,0.0,0.0,18.0,131.0
Jeremy Chardy,Nick Kyrgios,Hard,O,20181231,3,17.0,5.0,84.0,15.0,Brisbane,R16,6-7(5) 6-2 6-3,1,58.0,50.0,17.0,2.0,2.0,40.0,35.0
Yasutaka Uchiyama,Kyle Edmund,Hard,O,20181231,3,15.0,0.0,75.0,11.0,Brisbane,R16,7-6(6) 6-4,1,48.0,41.0,14.0,3.0,3.0,185.0,14.0
Grigor Dimitrov,John Millman,Hard,O,20181231,3,6.0,2.0,63.0,10.0,Brisbane,R16,6-3 6-4,1,35.0,27.0,13.0,2.0,4.0,19.0,38.0
Kei Nishikori,Denis Kudla,Hard,O,20181231,3,7.0,2.0,56.0,10.0,Brisbane,R16,7-5 6-2,1,32.0,27.0,15.0,0.0,0.0,9.0,63.0
Jo-Wilfried Tsonga,Alex de Minaur,Hard,O,20181231,3,12.0,2.0,68.0,11.0,Brisbane,QF,6-4 7-6(2),1,43.0,34.0,15.0,4.0,5.0,239.0,31.0
Daniil Medvedev,Milos Raonic,Hard,O,20181231,3,12.0,3.0,105.0,16.0,Brisbane,QF,6-7(2) 6-3 6-4,1,68.0,48.0,25.0,8.0,8.0,16.0,18.0
