player,matches,ace,dfs,svpt,svgms,last,ace_pct,df_pct,ace_pct_raw,ace_hard,n_hard,ace_clay,n_clay,ace_grass,n_grass,ret_matches,ace_conc,svpt_faced,conceded_pct,ret_mult
Aaron Gil Garcia,1.0,2.0,4.0,96.0,14.0,20250912.0,0.0676255363984605,0.03683846192769745,0.020833333333333332,,,0.04611178174506215,96.0,,,1,2.0,88.0,0.06873415174925494,0.8716450699182509
Abdullah Shelbayh,15.0,59.0,53.0,1033.0,151.0,20250217.0,0.06318371671572673,0.046944785147339796,0.057115198451113264,0.07739525638491643,653.0,0.0448520176359622,266.0,0.08229886374548706,114.0,15,81.0,953.0,0.08317979752670836,1.0548360398110181
Adam Moundir,1.0,1.0,4.0,74.0,11.0,20230403.0,0.06865456973341015,0.038548263958096914,0.013513513513513514,,,0.046142286383018614,74.0,,,1,8.0,80.0,0.08237972094507585,1.0446899510008865
Adam Neff,1.0,4.0,8.0,72.0,8.0,20240205.0,0.07530141113058561,0.047186180330800714,0.05555555555555555,0.08368051901126482,72.0,,,,,1,8.0,38.0,0.09027914624117903,1.1448656997269988
Adam Walton,48.0,318.0,112.0,4034.0,630.0,20260106.0,0.0788322656864313,0.02847809587644067,0.07882994546355974,0.08679103452690609,2901.0,0.05753149482649708,519.0,0.0722895620958386,614.0,54,545.0,4463.0,0.1185569126164171,1.5034672831028137
Adolfo Daniel Vallejo,3.0,9.0,10.0,194.0,33.0,20240203.0,0.06825297315427005,0.0408617459867642,0.04639175257731959,,,0.05028862583426064,194.0,,,8,23.0,533.0,0.05845902042190398,0.741342049711922
Adria Soriano Barrera,3.0,28.0,17.0,270.0,41.0,20250912.0,0.08886905381139763,0.046674443456922295,0.1037037037037037,0.0918917094334328,106.0,0.0671479499034589,164.0,,,3,12.0,269.0,0.06508559948226668,0.8253763299262155
Adrian Andreev,7.0,8.0,21.0,524.0,78.0,20210927.0,0.04279466023120824,0.03817302718196747,0.015267175572519083,0.04707489715726948,524.0,,,,,7,45.0,489.0,0.08609928689947853,1.0918592437597223
Adrian Mannarino,352.0,1724.0,813.0,27109.0,4197.0,20260826.0,0.06381701501521816,0.03007277171529819,0.06359511601313217,0.06958919164283328,19251.0,0.03525250407637925,2972.0,0.06286447521096866,4886.0,328,2437.0,25392.0,0.09570961019128553,1.2137315692986044
Adrian Menendez-Maceiras,4.0,16.0,11.0,274.0,43.0,20190408.0,0.07053748672646351,0.03749536664115421,0.058394160583941604,0.081526925291389,109.0,0.05463972344345278,165.0,,,4,35.0,277.0,0.09828990554451464,1.2464533192051128
Aisam-Ul-Haq Qureshi,4.0,47.0,34.0,340.0,54.0,20240203.0,0.10613819736977893,0.06523226637315938,0.13823529411764707,,,,,0.11527245400700047,340.0,4,44.0,341.0,0.1019463779401301,1.2928224974930365
Ajeet Rai,4.0,28.0,19.0,318.0,47.0,20240914.0,0.08292794714991143,0.04633966172164058,0.0880503144654088,0.0884362186257897,318.0,,,,,4,11.0,283.0,0.06228735879009723,0.7898907286392167
Alan Fernando Rubio Fierros,2.0,9.0,6.0,151.0,21.0,20240914.0,0.0735794302243855,0.03679106554652983,0.059602649006622516,0.0807571778100127,151.0,,,,,2,9.0,118.0,0.07826692288346797,0.9925339257538197
Alan Magadan,1.0,2.0,4.0,69.0,10.0,20250714.0,0.07151869094591985,0.03895922626042204,0.028985507246376812,0.07995139653159275,69.0,,,,,1,5.0,85.0,0.075344878461106,0.955478320206734
